Texture,EC,pH,OM,P,K,Sp,Aspect,Elevation,Slope,CVI,EVI,NDVI,SI1,SI2,SI3,SI4,SI5,SI6,SI7,SARVV,SARVH,TWI
Loam,8.19,8.39,0.62,6.9,110,36,229.151,160,1.41774,2.05336,0.367392,0.326895,0.184798,0.203514,0.287843,0.454466,0.497113,0.501935,0.657939,-10.171582,-21.803458,-16.81364
Loam,8.3,8.3,0.46,6.59,102,38,49.1359,159,1.41731,2.06596,0.306665,0.2712,0.201514,0.218313,0.309294,0.457906,0.503458,0.508404,0.649964,-10.854969,-25.498885,-16.5482
Loam,8.39,8.69,0.46,4.9,100,36,246.567,162,2.33095,2.13339,0.310913,0.274552,0.193723,0.210577,0.298502,0.446869,0.489829,0.500707,0.667731,-10.986866,-14.770016,-13.0941
Sandy Loam,8.5,8.89,0.54,5.5,97,38,90,173,2.14754,2.23646,0.3608,0.331989,0.173513,0.189047,0.267573,0.433976,0.471255,0.478877,0.67976,-14.078039,-20.467164,-17.12905
Loam,8.6,8.69,0.47,4.8,98,32,0,158,0.92741,2.14943,0.306674,0.275638,0.288447,0.206643,0.292963,0.439866,0.481802,0.494319,0.676789,-12.295064,-13.970344,-15.33801
Loam,8.6,8.69,0.38,7.3,95,36,66.6306,165,2.33696,1.96678,0.292214,0.254098,0.204927,0.223128,0.316036,0.453943,0.502092,0.509587,0.640205,-12.721336,-25.466599,1.32785
Loam,8.64,8.71,0.5,4.95,100,32,270,156,1.06611,2.01569,0.326495,0.290115,0.293066,0.214688,0.303818,0.457013,0.502619,0.511586,0.662228,-13.536826,-16.718703,-15.10324
Sandy Loam,8.89,8.39,0.4,4.9,114,41,310.919,152,1.41575,1.6702,0.219238,0.193059,0.299155,0.216499,0.306461,0.498395,0.450353,0.458772,0.585263,-9.306498,-19.458965,-16.20185
Loam,8.89,8.6,0.37,5.9,107,38,338.952,147,2.97871,2.0701,0.342017,0.382058,0.271556,0.291364,0.370731,0.459851,0.499527,0.509908,0.672486,-12.316527,-23.375217,0.768235
Sandy Loam,9.3,9.6,0.41,4.19,118,40,229.145,166,1.41759,2.06593,0.318465,0.369868,0.275995,0.296234,0.377562,0.463625,0.50443,0.50878,0.666681,-5.917543,-24.521382,-16.78319
Loam,9.39,11.19,0.36,4.19,88,38,209.996,165,2.14088,2.38658,0.451211,0.393565,0.169198,0.283679,0.259785,0.464697,0.499049,0.507957,0.696204,-8.856786,-16.734314,-13.24097
Sandy Loam,9.39,9.19,0.55,3.59,102,36,229.17,170,1.41829,2.06852,0.566752,0.376517,0.150538,0.271292,0.243698,0.474368,0.509203,0.522894,0.685327,-10.727752,-17.457591,-16.4953
Loam,9.39,9,0.47,5.9,99,32,49.0569,140,1.41506,1.88563,0.326144,0.296479,0.174645,0.191697,0.371109,0.40424,0.446921,0.556519,0.634606,-15.712378,-16.215432,0.298231
Sandy Loam,9.5,8.5,0.4,5.59,115,39,0,159,0,1.86923,0.272163,0.234229,0.212574,0.232186,0.328811,0.457026,0.508854,0.515742,0.624937,-9.812977,-17.547492,-14.70467
Loam,9.5,9.1,0.46,4.8,94,29,236.9,146,5.08172,1.63695,0.21131,0.183596,0.27326,0.307732,0.438073,0.516924,0.589658,0.600759,0.606252,-19.2255,-24.66898,-16.20185
Sandy Loam,9.5,9.39,0.57,7.4,95,40,0,155,0,1.9734,0.305342,0.254528,0.205728,0.223473,0.316539,0.45523,0.503341,0.51659,0.645561,-11.758062,-17.589276,-1.311207
Loam,9.6,8.6,0.51,6.59,110,32,163.951,158,3.85459,1.6661,0.213909,0.19731,0.282704,0.32268,0.45917,0.549569,0.625271,0.630166,0.613535,-18.170577,-17.667849,-17.12905
Sandy Loam,9.69,8.19,0.49,3,88,36,270,143,3.18481,1.98827,0.347771,0.311539,0.286826,0.210438,0.297638,0.457633,0.502768,0.511512,0.665485,-7.633583,-16.310242,-17.00624
Loam,9.69,8.8,0.63,6.8,103,33,90,154,1.0672,1.23135,0.355712,0.303374,0.289184,0.205451,0.291115,0.455477,0.596095,0.513083,0.684975,-11.891721,-15.813999,-16.43662
Sandy Loam,9.8,9.89,0.31,3.9,98,28,310.979,150,1.41404,1.07142,0.270184,0.1235115,0.201273,0.223916,0.317892,0.452612,0.499125,0.516513,0.679149,-8.428547,-15.53431,-15.16191
Sandy Loam,10.3,9.6,0.49,4.69,98,37,142.479,157,3.50386,1.86723,0.225345,0.19074,0.229258,0.251359,0.356736,0.474624,0.530428,0.539321,0.629517,-8.753907,-15.238957,-15.80185
Loam,11.5,8.3,0.55,4.69,98,35,130.978,157,1.41407,1.59783,0.120015,0.182522,0.325547,0.355827,0.506105,0.593683,0.679161,0.687526,0.769768,-11.524587,-20.256776,-16.89478
Sandy Loam,11.8,9.89,0.41,5.9,119,28,180,156,0.92741,1.995,0.137302,0.166041,0.273864,0.29079,0.469917,0.444577,0.485262,0.599311,0.754954,-11.230234,-14.787462,-1.311207
Sandy Loam,12.19,9.19,0.31,4.19,98,36,310.98,157,1.414,1.10614,0.156105,0.183927,0.163257,0.278402,0.352364,0.431659,0.468187,0.58898,0.67469,-9.849974,-23.926722,-0.61806
Sandy Loam,13.19,10.39,0.36,3.9,116,34,113.415,153,2.33266,1.44711,0.148858,0.108191,0.27404,0.296418,0.419807,0.491151,0.568022,0.574302,0.518166,-17.47924,-17.049861,-7.349477
Sandy Loam,14.6,11.3,0.64,6.4,104,36,330.055,164,2.13977,1.73388,0.165616,0.147247,0.248486,0.276964,0.49326,0.594673,0.558813,0.561844,0.708694,-11.468795,-17.714792,-17.07995
Sandy Loam,15.39,10.6,0.51,7.3,105,36,180,161,1.85433,1.23674,0.01386336,0.049252,0.275017,0.289866,0.468607,0.645425,0.682816,0.707521,0.874506,-14.326937,-18.628855,-15.5087
Sandy Loam,15.5,8,0.43,3.9,102,36,270,157,1.07008,1.98864,0.012783,0.066986,0.271121,0.293363,0.573573,0.650779,0.692102,0.751341,0.767583,-15.759507,-29.449118,-16.67944
